id,reg,car_description,car_make_model,road_tax_status,mot_status,exported,average,engine,EngineLitres,EuroStatus,FuelType,KeeperStartDate,LastMOTMileage,LastV5CIssueDate,MOT,MileageIssues,ModelDescription,ModelVariant,PrimaryColour,RegistrationDate,RegistrationPlace,Status,Tax12MonthsCost,Tax6MonthsCost,Transmission,TypeApproval,VehicleAge,WheelPlan,YearManufacture,isSold,co2,manufacturer,mileage,sell,created_on,car_order,taxDueDate,motExpiryDate,carViews
71,EK09JWF,,FORD S-MAX,✓ SORN,✓ Expires: 18 Jun 2024 12 days left,NO,5777,1997 cc,,EURO 4,Diesel,,86653.0,25 October 2023,£45,No,S-MAX ZETEC TDCI,S-MAX,Black,2009.07.30,Chelmsford,MEDIUM,£255,£140.25,,M1,14 Years 11 Months,2 AXLE RIGID BODY,2009,1,159 g/km (,FORD,99000,2700,2024-06-07 05:28:30,4.0,,2024-06-18,11
89,LM63 YVY,,Audi A4,Untaxed,Valid,,0,1968cc,,,Diesel,,,2023-04-21,,,A4 S LINE BLACK EDITION TDI,Black edition,White,2013-11,,,,,,M1,,2 AXLE RIGID BODY,2013,1,,,95878,6400,2024-08-02 05:55:23,4.0,2024-03-02,2025-09-11,63
117,VU14OHK,,Honda Jazz SI,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,100957,3995,2024-09-05 09:12:57,4.0,,,13
121,OY14ZVM,,Toyota Yaris,Untaxed,Valid,No,0,Show ULEZ status,,"Need to sell your Toyota ? Get a free, instant val",5b,,,2014,,,Car,,Hatchback,Oxford / Oxford,See a full report,,Road tax rates are i,79 g/km (A),,,05 January 2024,,Need to se,1,,VVT-I Auto,46000,8995,2024-09-13 04:36:09,4.0,2024-08-27,2025-09-23,20
60,EJ61WYZ,,HONDA CIVIC,✗ Expired: 09 Mar 2024 57 days ago,✓ Expires: 01 Dec 2024 211 days left,NO,4903,1339 cc,,EURO 5,Petrol,,63735.0,15 December 2015,£45,No,CIVIC SI-T I-VTEC,CIVIC,Black,2011.11.30,Chelmsford,LOW,£180,£99,,M1,12 Years 6 Months,2 AXLE RIGID BODY,2011,1,135 g/km (,HONDA,64015,5495,2024-05-05 09:40:22,5.0,2024-03-09,2024-12-01,2
59,VX63JVR,,FORD MONDEO,✗ Expired: 12 Apr 2024 20 days ago,✓ Expires: 28 Sep 2024 150 days left,NO,9430,1997 cc,,EURO 5,Diesel,,103731.0,15 December 2017,£45,No,MONDEO ZETEC BUSINESS EDN TDCI,MONDEO,Black,2013.09.29,Worcester,MEDIUM,£35,,,M1,10 Years 8 Months,2 AXLE RIGID BODY,2013,1,120 g/km (,FORD,104000,3700,2024-05-02 06:59:20,5.0,2024-04-12,2024-09-28,2
70,YG12TVF,,MINI COOPER SD,✗ Expired: 18 May 2024 20 days ago,✓ Expires: 01 Oct 2024 117 days left,NO,5434,1995 cc,,EURO 5,Diesel,,65207.0,24 April 2024,£45,No,COOPER SD,COOPER SD,Grey,2012.03.06,Leeds,MEDIUM,£35,,,M1,12 Years 3 Months,2 AXLE RIGID BODY,2012,1,114 g/km (,MINI,66616,4995,2024-06-07 05:25:17,5.0,2024-05-18,2024-10-01,26
72,GD66PXV,,SKODA OCTAVIA,✗ Expired: 16 May 2024 22 days ago,✓ Expires: 18 Jun 2025 377 days left,NO,12136,1968 cc,,EURO 6,Diesel,,97087.0,09 July 2022,£45,No,OCTAVIA SE L TDI,OCTAVIA,Beige,2016.12.21,Maidstone,HIGH,£20,,,M1,7 Years 6 Months,2 AXLE RIGID BODY,2016,1,106 g/km (,SKODA,97000,7400,2024-06-07 05:36:48,5.0,2024-05-16,2025-06-18,20
96,HJ65 HZB,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,109339,6300,2024-08-02 06:09:52,5.0,,,8
110,RJ14PXZ,,Kia Ceed 2,,,,0,,,,,,,,,,CEED 2 CRDI AUTO,,,,,,,,,,,,,1,,,108000,3995,2024-08-27 04:49:58,5.0,,,7
